SEASON,GAME_DATE,GAME_ID,TEAM_ABBREVIATION,MATCHUP,WL,MATHEMATICALLY_ELIMINATED,ELIMINATION_DATE,MAX_POSSIBLE_WINS,CUTOFF_WINS_BEFORE_GAME,PRE_ELIMINATION_POINT_DIFF,POST_ELIM_ROLLING_POINT_DIFF,POINT_DIFF_DROP,HIGH_MINUTES_ABSENCES,HIGH_MINUTES_ABSENT_PLAYERS,REVIEW_REASONS
2015-16,2016-03-28,0021501104,LAL,LAL @ UTA,L,True,2016-03-22,24,31,-5.2,-15.4,-10.2,0,,post-elimination point-differential drop
2015-16,2016-03-29,0021501108,BKN,BKN @ ORL,L,True,2016-03-22,30,36,-6.0,-6.2,-0.20000000000000018,3,Jarrett Jack; Joe Johnson; Thaddeus Young,high-minute-player absence spike
2015-16,2016-03-30,0021501121,LAL,LAL vs. MIA,W,True,2016-03-22,23,31,-5.2,-16.4,-11.2,0,,post-elimination point-differential drop
2015-16,2016-03-31,0021501122,BKN,BKN @ CLE,L,True,2016-03-22,29,36,-6.0,-9.2,-3.1999999999999993,3,Brook Lopez; Jarrett Jack; Joe Johnson,high-minute-player absence spike
2015-16,2016-04-01,0021501130,BKN,BKN @ NYK,L,True,2016-03-22,28,36,-6.0,-13.8,-7.800000000000001,4,Bojan Bogdanovic; Jarrett Jack; Joe Johnson; Thaddeus Young,post-elimination point-differential drop; high-minute-player absence spike
2015-16,2016-04-03,0021501143,BKN,BKN vs. NOP,L,True,2016-03-22,27,37,-6.0,-19.6,-13.600000000000001,5,Bojan Bogdanovic; Brook Lopez; Jarrett Jack; Joe Johnson; Thaddeus Young,post-elimination point-differential drop; high-minute-player absence spike
2015-16,2016-04-03,0021501153,LAL,LAL vs. BOS,L,True,2016-03-22,23,32,-5.2,-15.4,-10.2,1,Lou Williams,post-elimination point-differential drop
2015-16,2016-04-03,0021501151,NYK,NYK vs. IND,L,True,2016-04-03,36,37,-4.1,,,3,Carmelo Anthony; Jose Calderon; Kristaps Porziņģis,high-minute-player absence spike
2015-16,2016-04-05,0021501164,LAL,LAL @ LAC,L,True,2016-03-22,22,32,-5.2,-17.6,-12.400000000000002,1,Lou Williams,post-elimination point-differential drop
2015-16,2016-04-06,0021501167,BKN,BKN @ WAS,L,True,2016-03-22,26,37,-6.0,-21.0,-15.0,4,Brook Lopez; Jarrett Jack; Joe Johnson; Thaddeus Young,post-elimination point-differential drop; high-minute-player absence spike
2015-16,2016-04-06,0021501172,LAL,LAL vs. LAC,L,True,2016-03-22,21,32,-5.2,-17.0,-11.8,1,Lou Williams,post-elimination point-differential drop
2015-16,2016-04-08,0021501178,BKN,BKN @ CHA,L,True,2016-03-22,25,38,-6.0,-17.0,-11.0,4,Brook Lopez; Jarrett Jack; Joe Johnson; Thaddeus Young,post-elimination point-differential drop; high-minute-player absence spike
2015-16,2016-04-08,0021501181,MIL,MIL @ BOS,L,True,2016-04-08,36,38,-6.3,,,4,Jerryd Bayless; Khris Middleton; Michael Carter-Williams; O.J. Mayo,high-minute-player absence spike
