Season,Team,Actual Wins,Sim Mean Wins,Sim Std,Sim Min,Sim Max,Abs Error
2018-19,MIL,60,49.66,3.87,35,61,10.34
2018-19,TOR,58,48.53,4.24,35,62,9.47
2018-19,GSW,57,47.75,4.19,34,60,9.25
2018-19,DEN,54,45.34,4.21,28,57,8.66
2018-19,POR,53,44.73,4.23,29,61,8.27
2018-19,HOU,53,43.65,4.49,29,56,9.35
2018-19,PHI,51,43.82,4.48,30,60,7.18
2018-19,UTA,50,44.72,4.11,30,57,5.28
2018-19,BOS,49,46.56,4.14,33,60,2.44
2018-19,OKC,49,44.6,4.29,29,59,4.4
2018-19,IND,48,46.98,4.15,35,61,1.02
2018-19,LAC,48,43.55,4.32,30,58,4.45
2018-19,SAS,48,42.7,4.35,27,58,5.3
2018-19,BKN,42,39.94,4.33,26,53,2.06
2018-19,ORL,42,38.16,4.43,21,51,3.84
2018-19,DET,41,42.37,4.4,30,57,1.37
2018-19,MIA,39,41.69,4.4,28,57,2.69
2018-19,SAC,39,41.24,4.33,26,54,2.24
2018-19,CHA,39,42.59,4.43,29,56,3.59
2018-19,LAL,37,40.16,4.31,28,53,3.16
2018-19,MIN,36,38.77,4.22,26,53,2.77
2018-19,NOP,33,40.66,4.36,26,57,7.66
2018-19,DAL,33,38.84,4.39,24,52,5.84
2018-19,MEM,33,38.8,4.42,23,51,5.8
2018-19,WAS,32,38.81,4.31,24,53,6.81
2018-19,ATL,29,32.32,4.08,19,44,3.32
2018-19,CHI,22,31.33,4.28,17,45,9.33
2018-19,CLE,19,30.45,4.37,18,49,11.45
2018-19,PHX,19,30.27,4.27,17,43,11.27
2018-19,NYK,17,31.03,4.48,18,45,14.03
2019-20,MIL,56,45.64,3.74,33,57,10.36
2019-20,TOR,53,42.54,3.76,31,55,10.46
2019-20,LAL,52,41.2,3.85,27,53,10.8
2019-20,LAC,49,41.03,3.99,27,52,7.97
2019-20,BOS,48,41.05,3.92,29,52,6.95
2019-20,DEN,46,41.07,3.93,29,54,4.93
2019-20,IND,45,40.15,4.0,24,51,4.85
2019-20,HOU,44,40.12,4.14,27,52,3.88
2019-20,UTA,44,40.09,4.02,28,53,3.91
2019-20,MIA,44,39.72,4.1,27,53,4.28
2019-20,OKC,44,38.0,4.07,20,50,6.0
2019-20,DAL,43,42.29,4.07,30,55,0.71
2019-20,PHI,43,38.08,3.98,24,48,4.92
2019-20,POR,35,35.22,4.07,23,49,0.22
2019-20,BKN,35,35.28,4.12,22,48,0.28
2019-20,PHX,34,37.77,4.01,26,51,3.77
