Model Variant,Season,Team,Actual Wins,Sim Mean Wins,Sim Std,Sim Min,Sim Max,Abs Error
all_training_games,2018-19,MIL,60,56.678,3.8205906497442195,44,69,3.3220000000000027
all_training_games,2018-19,TOR,58,55.963,4.077039765964182,44,67,2.036999999999999
all_training_games,2018-19,GSW,57,51.685,3.997969329391952,39,64,5.314999999999998
all_training_games,2018-19,DEN,54,49.881,4.100689534048459,38,63,4.119
all_training_games,2018-19,HOU,53,51.343,4.17238058663873,37,64,1.6569999999999965
all_training_games,2018-19,POR,53,50.634,4.105227995726516,33,64,2.3659999999999997
all_training_games,2018-19,PHI,51,51.799,4.069048556623068,36,63,0.7989999999999995
all_training_games,2018-19,UTA,50,50.91,4.00448947257149,38,63,0.9099999999999966
all_training_games,2018-19,BOS,49,48.009,4.055288444040012,31,60,0.9909999999999997
all_training_games,2018-19,OKC,49,49.801,4.133338055795038,37,64,0.8010000000000019
all_training_games,2018-19,IND,48,48.195,4.040210179965669,35,60,0.19500000000000028
all_training_games,2018-19,LAC,48,43.736,4.071717436522682,31,57,4.264000000000003
all_training_games,2018-19,SAS,48,45.832,4.247094749804131,32,60,2.1679999999999993
all_training_games,2018-19,BKN,42,38.296,4.239853813560131,26,50,3.7040000000000006
all_training_games,2018-19,ORL,42,37.501,4.161889032677382,24,50,4.499000000000002
all_training_games,2018-19,DET,41,41.786,4.102564446176944,30,53,0.7860000000000014
all_training_games,2018-19,CHA,39,39.687,4.292721567777071,24,53,0.6869999999999976
all_training_games,2018-19,MIA,39,39.359,4.1897103327882546,26,51,0.35900000000000176
all_training_games,2018-19,SAC,39,39.757,4.050229049739701,24,53,0.7569999999999979
all_training_games,2018-19,LAL,37,38.392,4.163612814812596,24,52,1.392000000000003
all_training_games,2018-19,MIN,36,40.057,4.089312102722594,27,55,4.057000000000002
all_training_games,2018-19,DAL,33,32.268,3.9628121176609077,19,42,0.7319999999999993
all_training_games,2018-19,MEM,33,34.033,4.082471993483553,22,48,1.0330000000000013
all_training_games,2018-19,NOP,33,40.136,4.248712223198413,24,52,7.136000000000003
all_training_games,2018-19,WAS,32,35.77,4.166588587857036,24,49,3.770000000000003
all_training_games,2018-19,ATL,29,28.407,3.9490436748592574,17,42,0.593
all_training_games,2018-19,CHI,22,23.428,3.789350231263296,8,34,1.4280000000000008
all_training_games,2018-19,CLE,19,25.275,4.004423854989671,13,41,6.274999999999999
all_training_games,2018-19,PHX,19,19.589,3.6545087815511557,8,33,0.5889999999999986
all_training_games,2018-19,NYK,17,21.793,3.7755006827446604,10,36,4.792999999999999
all_training_games,2019-20,MIL,56,55.339,3.449344427130623,43,66,0.6610000000000014
all_training_games,2019-20,TOR,53,49.798,3.4573326639403934,38,60,3.201999999999998
all_training_games,2019-20,LAL,52,47.651,3.7348558403435255,33,60,4.348999999999997
all_training_games,2019-20,LAC,49,44.955,3.8848509710241177,33,57,4.045000000000002
all_training_games,2019-20,BOS,48,47.1,3.8218590511172117,34,59,0.8999999999999986
all_training_games,2019-20,DEN,46,44.56,3.674220992251272,34,56,1.4399999999999977
all_training_games,2019-20,IND,45,40.519,3.8442707263429483,30,51,4.481000000000002
all_training_games,2019-20,HOU,44,45.314,3.87303555423964,33,57,1.314
all_training_games,2019-20,MIA,44,41.852,4.021724787982181,28,54,2.1480000000000032
