Model Variant,Season,Team,Actual Wins,Sim Mean Wins,Sim Std,Sim Min,Sim Max,Abs Error
exclude_flagged_training_games,2018-19,MIL,60,57.246,3.7944540953715404,45,68,2.753999999999998
exclude_flagged_training_games,2018-19,TOR,58,55.921,4.060202488084087,43,67,2.0790000000000006
exclude_flagged_training_games,2018-19,GSW,57,51.573,4.057232077677109,39,63,5.427
exclude_flagged_training_games,2018-19,DEN,54,50.008,4.071426348653815,39,64,3.9919999999999973
exclude_flagged_training_games,2018-19,HOU,53,51.818,4.172083685915501,37,63,1.1820000000000022
exclude_flagged_training_games,2018-19,POR,53,50.275,4.184840246399834,32,64,2.7250000000000014
exclude_flagged_training_games,2018-19,PHI,51,51.77,4.122389367113944,37,63,0.7700000000000031
exclude_flagged_training_games,2018-19,UTA,50,50.592,4.030853976985987,38,62,0.5919999999999987
exclude_flagged_training_games,2018-19,BOS,49,48.103,4.001299963936897,31,60,0.8969999999999985
exclude_flagged_training_games,2018-19,OKC,49,49.484,4.186797496090924,36,62,0.48400000000000176
exclude_flagged_training_games,2018-19,IND,48,47.878,4.045674663573871,35,59,0.12199999999999989
exclude_flagged_training_games,2018-19,LAC,48,43.744,4.012550879996983,32,57,4.256
exclude_flagged_training_games,2018-19,SAS,48,45.738,4.240912795771848,31,61,2.2620000000000005
exclude_flagged_training_games,2018-19,BKN,42,38.054,4.216024058145168,26,51,3.945999999999998
exclude_flagged_training_games,2018-19,ORL,42,37.445,4.194110819418766,24,49,4.555
exclude_flagged_training_games,2018-19,DET,41,41.231,4.13603019159021,29,52,0.23100000000000165
exclude_flagged_training_games,2018-19,CHA,39,39.497,4.307963503739274,26,52,0.4969999999999999
exclude_flagged_training_games,2018-19,MIA,39,39.395,4.1094845008666026,27,52,0.3950000000000031
exclude_flagged_training_games,2018-19,SAC,39,39.465,4.114085645766344,23,53,0.4650000000000034
exclude_flagged_training_games,2018-19,LAL,37,38.132,4.14243113832152,23,51,1.131999999999998
exclude_flagged_training_games,2018-19,MIN,36,40.149,4.092865811451757,27,55,4.149000000000001
exclude_flagged_training_games,2018-19,DAL,33,32.829,4.011963964800146,19,44,0.17099999999999937
exclude_flagged_training_games,2018-19,MEM,33,34.507,4.130740129082685,22,48,1.506999999999998
exclude_flagged_training_games,2018-19,NOP,33,40.131,4.257930127299991,24,53,7.131
exclude_flagged_training_games,2018-19,WAS,32,35.966,4.190274740682569,23,49,3.966000000000001
exclude_flagged_training_games,2018-19,ATL,29,28.781,3.9742714846665796,17,43,0.2190000000000012
exclude_flagged_training_games,2018-19,CHI,22,23.586,3.818269658259246,9,37,1.5859999999999985
exclude_flagged_training_games,2018-19,CLE,19,25.34,4.017030811001645,13,40,6.34
exclude_flagged_training_games,2018-19,PHX,19,19.82,3.6801009691505984,8,33,0.8200000000000003
exclude_flagged_training_games,2018-19,NYK,17,21.522,3.8210098293665897,11,35,4.5219999999999985
exclude_flagged_training_games,2019-20,MIL,56,55.345,3.370064143652508,44,65,0.6550000000000011
exclude_flagged_training_games,2019-20,TOR,53,50.049,3.493250893051008,38,62,2.9510000000000005
exclude_flagged_training_games,2019-20,LAL,52,48.107,3.67247029096736,33,60,3.8930000000000007
exclude_flagged_training_games,2019-20,LAC,49,45.058,3.8467432242656328,33,56,3.942
exclude_flagged_training_games,2019-20,BOS,48,47.11,3.8249876510298084,33,58,0.8900000000000006
exclude_flagged_training_games,2019-20,DEN,46,44.051,3.663853548222532,32,55,1.948999999999998
exclude_flagged_training_games,2019-20,IND,45,40.408,3.8665858953974457,29,51,4.591999999999999
exclude_flagged_training_games,2019-20,HOU,44,44.843,3.927566266376262,32,56,0.8430000000000035
exclude_flagged_training_games,2019-20,MIA,44,41.832,3.984174901990329,29,54,2.1679999999999993
exclude_flagged_training_games,2019-20,OKC,44,40.997,3.8817597889435476,27,55,3.003
exclude_flagged_training_games,2019-20,UTA,44,43.728,3.877763924358101,32,56,0.27199999999999847
exclude_flagged_training_games,2019-20,DAL,43,43.923,3.892071327611983,32,55,0.9230000000000018
exclude_flagged_training_games,2019-20,PHI,43,40.717,3.8820073391199252,27,53,2.2830000000000013
exclude_flagged_training_games,2019-20,BKN,35,35.444,3.8209244252488794,23,47,0.4440000000000026
exclude_flagged_training_games,2019-20,POR,35,36.629,3.8144342842561714,24,48,1.6289999999999978
exclude_flagged_training_games,2019-20,MEM,34,34.203,3.913707718788942,22,47,0.20300000000000296
exclude_flagged_training_games,2019-20,PHX,34,31.069,3.8137624183716254,18,46,2.931000000000001
exclude_flagged_training_games,2019-20,ORL,33,35.797,3.731449412053545,22,49,2.796999999999997
exclude_flagged_training_games,2019-20,SAS,32,33.53,3.875063369303285,23,46,1.5300000000000011
exclude_flagged_training_games,2019-20,SAC,31,32.714,3.878820600291967,19,45,1.7139999999999986
exclude_flagged_training_games,2019-20,NOP,30,32.03,3.72813612935458,21,43,2.030000000000001
exclude_flagged_training_games,2019-20,WAS,25,26.421,3.7426951207340906,13,42,1.4209999999999994
exclude_flagged_training_games,2019-20,CHA,23,23.814,3.6039412304298843,13,36,0.8140000000000001
exclude_flagged_training_games,2019-20,CHI,22,21.481,3.527617196222262,12,31,0.5189999999999984
exclude_flagged_training_games,2019-20,NYK,21,20.991,3.43230239048074,10,33,0.009000000000000341
exclude_flagged_training_games,2019-20,ATL,20,21.421,3.662946379101961,10,34,1.4209999999999994
exclude_flagged_training_games,2019-20,DET,20,24.794,3.602852279034561,15,36,4.7940000000000005
exclude_flagged_training_games,2019-20,CLE,19,19.323,3.3150657098556335,9,30,0.3230000000000004
exclude_flagged_training_games,2019-20,MIN,19,21.451,3.4660658696298303,11,31,2.4510000000000005
exclude_flagged_training_games,2019-20,GSW,15,21.72,3.47471922227879,12,34,6.719999999999999
exclude_flagged_training_games,2020-21,UTA,52,48.355,3.798078514249067,37,61,3.645000000000003
exclude_flagged_training_games,2020-21,PHX,51,45.981,3.7462879859500586,34,57,5.018999999999998
exclude_flagged_training_games,2020-21,PHI,49,44.917,3.8996561795007354,32,56,4.082999999999998
exclude_flagged_training_games,2020-21,BKN,48,44.387,3.645616754613902,33,54,3.6129999999999995
exclude_flagged_training_games,2020-21,DEN,47,43.11,3.90604111053086,31,57,3.8900000000000006
exclude_flagged_training_games,2020-21,LAC,47,47.816,3.8865472143342443,36,59,0.8160000000000025
exclude_flagged_training_games,2020-21,MIL,46,42.521,3.8463428543687233,31,53,3.478999999999999
exclude_flagged_training_games,2020-21,DAL,42,40.666,3.9822483978654963,30,54,1.3340000000000032
exclude_flagged_training_games,2020-21,LAL,42,42.783,3.840919637751314,29,56,0.7830000000000013
exclude_flagged_training_games,2020-21,POR,42,39.778,3.868550333352491,28,53,2.2220000000000013
exclude_flagged_training_games,2020-21,ATL,41,36.763,3.8721860524547105,26,52,4.237000000000002
exclude_flagged_training_games,2020-21,NYK,41,37.85,3.908551749277056,25,51,3.1499999999999986
exclude_flagged_training_games,2020-21,MIA,40,39.686,3.835376658701732,28,53,0.31400000000000006
exclude_flagged_training_games,2020-21,GSW,39,35.623,4.025552890731422,21,49,3.3770000000000024
exclude_flagged_training_games,2020-21,MEM,38,39.702,4.030315054612924,26,54,1.7019999999999982
exclude_flagged_training_games,2020-21,BOS,36,39.788,3.9189812980434575,28,52,3.7879999999999967
exclude_flagged_training_games,2020-21,IND,34,36.831,3.7848069651917178,26,50,2.831000000000003
exclude_flagged_training_games,2020-21,WAS,34,29.904,3.9395817423051858,19,43,4.096
exclude_flagged_training_games,2020-21,CHA,33,33.317,3.8145854377720108,22,46,0.31700000000000017
exclude_flagged_training_games,2020-21,SAS,33,35.102,3.9931868903848695,23,49,2.1019999999999968
exclude_flagged_training_games,2020-21,CHI,31,31.145,3.860165265357936,19,43,0.14499999999999957
exclude_flagged_training_games,2020-21,NOP,31,33.518,3.7381345146543112,22,44,2.5180000000000007
exclude_flagged_training_games,2020-21,SAC,31,30.309,3.904197966517801,20,42,0.690999999999999
exclude_flagged_training_games,2020-21,TOR,27,36.248,3.9545080773889048,24,48,9.247999999999998
exclude_flagged_training_games,2020-21,MIN,23,20.984,3.596203091689442,9,35,2.0159999999999982
exclude_flagged_training_games,2020-21,CLE,22,23.703,3.8196047413810215,10,34,1.7029999999999994
exclude_flagged_training_games,2020-21,OKC,22,26.591,3.9159997515390677,16,40,4.591000000000001
exclude_flagged_training_games,2020-21,ORL,21,24.571,3.8078154443799512,13,39,3.5710000000000015
exclude_flagged_training_games,2020-21,DET,20,24.39,3.7989909623915,13,37,4.390000000000001
exclude_flagged_training_games,2020-21,HOU,17,23.661,3.644085393944335,12,36,6.661000000000001
exclude_flagged_training_games,2021-22,PHX,64,59.573,3.9002413877711253,47,71,4.427
exclude_flagged_training_games,2021-22,MEM,56,50.3,4.091545031004885,38,63,5.700000000000003
exclude_flagged_training_games,2021-22,GSW,53,54.663,4.065951667563561,42,68,1.6629999999999967
exclude_flagged_training_games,2021-22,MIA,53,51.146,4.061918657873785,38,65,1.8539999999999992
exclude_flagged_training_games,2021-22,DAL,52,48.135,3.9785177646459737,36,60,3.865000000000002
exclude_flagged_training_games,2021-22,BOS,51,50.68,4.198002289568596,38,63,0.3200000000000003
exclude_flagged_training_games,2021-22,MIL,51,49.125,4.2158211712723475,34,61,1.875
exclude_flagged_training_games,2021-22,PHI,51,48.821,4.04218978998987,36,61,2.179000000000002
exclude_flagged_training_games,2021-22,UTA,49,51.939,4.140098962515188,35,64,2.939
exclude_flagged_training_games,2021-22,DEN,48,46.4,4.0905663095386515,33,60,1.6000000000000014
exclude_flagged_training_games,2021-22,TOR,48,44.117,4.002665653328085,32,58,3.8830000000000027
exclude_flagged_training_games,2021-22,CHI,46,44.089,4.2545481757973125,33,57,1.9110000000000014
exclude_flagged_training_games,2021-22,MIN,46,43.114,4.144898573449557,29,55,2.886000000000003
exclude_flagged_training_games,2021-22,BKN,44,44.397,4.095138723066795,32,56,0.39699999999999847
exclude_flagged_training_games,2021-22,CLE,44,42.003,4.10509961424115,29,56,1.9969999999999999
exclude_flagged_training_games,2021-22,ATL,43,42.349,4.037015790964469,30,54,0.6510000000000034
exclude_flagged_training_games,2021-22,CHA,43,39.204,4.181850292857441,27,52,3.7959999999999994
exclude_flagged_training_games,2021-22,LAC,42,40.407,4.220090065408576,28,53,1.5930000000000035
exclude_flagged_training_games,2021-22,NYK,37,39.801,4.175983457562762,24,53,2.801000000000002
exclude_flagged_training_games,2021-22,NOP,36,38.84,4.217129851472943,26,52,2.8400000000000034
exclude_flagged_training_games,2021-22,WAS,35,37.991,4.139571844412787,26,50,2.9909999999999997
exclude_flagged_training_games,2021-22,SAS,34,36.12,4.217272268348985,23,51,2.1199999999999974
exclude_flagged_training_games,2021-22,LAL,33,36.555,4.216248540082964,22,50,3.5549999999999997
exclude_flagged_training_games,2021-22,SAC,30,28.503,4.074873690753571,15,42,1.4969999999999999
exclude_flagged_training_games,2021-22,POR,27,34.972,4.142266815932356,23,49,7.972000000000001
exclude_flagged_training_games,2021-22,IND,25,33.63,4.060984066897041,21,47,8.630000000000003
exclude_flagged_training_games,2021-22,OKC,24,23.799,3.8363154610011474,11,37,0.2010000000000005
exclude_flagged_training_games,2021-22,DET,23,24.355,3.9431616151919924,13,39,1.3550000000000004
exclude_flagged_training_games,2021-22,ORL,22,22.401,3.9078728831002745,11,34,0.4009999999999998
exclude_flagged_training_games,2021-22,HOU,20,22.571,3.92024582485937,10,35,2.5710000000000015
exclude_flagged_training_games,2022-23,MIL,58,51.339,4.117162861732598,39,65,6.661000000000001
exclude_flagged_training_games,2022-23,BOS,57,53.758,4.083884684233153,41,68,3.2419999999999973
exclude_flagged_training_games,2022-23,PHI,54,51.054,4.3032082916821075,36,64,2.945999999999998
exclude_flagged_training_games,2022-23,DEN,53,49.254,4.390302809460731,34,64,3.746000000000002
exclude_flagged_training_games,2022-23,CLE,51,48.366,4.252072920838031,34,62,2.6340000000000003
exclude_flagged_training_games,2022-23,MEM,51,51.562,4.18804198829187,38,63,0.5619999999999976
exclude_flagged_training_games,2022-23,SAC,48,45.141,4.1345148703582115,34,58,2.8590000000000018
exclude_flagged_training_games,2022-23,NYK,47,44.669,4.129951028220014,29,56,2.331000000000003
exclude_flagged_training_games,2022-23,BKN,45,45.809,4.111620656678385,34,59,0.8089999999999975
exclude_flagged_training_games,2022-23,PHX,45,47.031,4.0060063763163205,34,59,2.030999999999999
exclude_flagged_training_games,2022-23,GSW,44,46.03,4.211274728017017,33,59,2.030000000000001
exclude_flagged_training_games,2022-23,LAC,44,42.263,4.206129161417003,26,54,1.7370000000000019
exclude_flagged_training_games,2022-23,MIA,44,43.663,4.1449501337907,32,55,0.3370000000000033
exclude_flagged_training_games,2022-23,LAL,43,39.948,4.2915863866073725,27,52,3.0519999999999996
exclude_flagged_training_games,2022-23,MIN,42,42.28,4.280411419702781,28,56,0.28000000000000114
exclude_flagged_training_games,2022-23,NOP,42,42.364,4.314640207493568,29,57,0.3639999999999972
exclude_flagged_training_games,2022-23,ATL,41,42.25,4.355510357061554,27,54,1.25
exclude_flagged_training_games,2022-23,TOR,41,43.233,4.173503220213108,31,56,2.232999999999997
exclude_flagged_training_games,2022-23,CHI,40,40.133,4.331289769926623,26,56,0.13300000000000267
exclude_flagged_training_games,2022-23,OKC,40,38.911,4.325712749454228,25,52,1.0889999999999986
exclude_flagged_training_games,2022-23,DAL,38,44.296,4.263162975838314,29,60,6.295999999999999
exclude_flagged_training_games,2022-23,UTA,37,37.806,4.35813691356264,25,50,0.8059999999999974
exclude_flagged_training_games,2022-23,IND,35,34.53,4.158652954310375,21,48,0.46999999999999886
exclude_flagged_training_games,2022-23,WAS,35,36.301,4.08718779897671,23,50,1.301000000000002
exclude_flagged_training_games,2022-23,ORL,34,33.529,3.9938840882166406,22,46,0.47099999999999653
exclude_flagged_training_games,2022-23,POR,33,32.249,4.143207111063262,19,50,0.7509999999999977
exclude_flagged_training_games,2022-23,CHA,27,30.24,4.167945749619556,18,43,3.2399999999999984
exclude_flagged_training_games,2022-23,HOU,22,21.82,3.9136832928734724,10,33,0.17999999999999972
exclude_flagged_training_games,2022-23,SAS,22,26.337,3.954626413464361,14,38,4.337
exclude_flagged_training_games,2022-23,DET,17,23.834,4.075174971832622,11,37,6.834
exclude_flagged_training_games,2023-24,BOS,64,61.206,3.7053060998105543,48,71,2.793999999999997
exclude_flagged_training_games,2023-24,DEN,57,51.406,4.052849564144908,38,65,5.594000000000001
exclude_flagged_training_games,2023-24,OKC,57,52.516,3.902431674350363,42,65,4.484000000000002
exclude_flagged_training_games,2023-24,MIN,56,54.103,4.136363197363172,41,66,1.8969999999999985
exclude_flagged_training_games,2023-24,LAC,51,50.159,4.004966761255179,37,61,0.8410000000000011
exclude_flagged_training_games,2023-24,DAL,50,43.279,4.088015517444967,29,58,6.7209999999999965
exclude_flagged_training_games,2023-24,NYK,50,49.052,4.093415694997523,38,61,0.9480000000000004
exclude_flagged_training_games,2023-24,MIL,49,48.262,4.098310890129274,36,61,0.7379999999999995
exclude_flagged_training_games,2023-24,NOP,49,49.861,4.054888546078812,34,61,0.8609999999999971
exclude_flagged_training_games,2023-24,PHX,49,46.452,4.060071450132406,30,62,2.548000000000002
