Model Variant,Season,Team,Actual Wins,Sim Mean Wins,Sim Std,Sim Min,Sim Max,Abs Error
exclude_flagged_training_games,2018-19,MIL,60,57.246,3.794454095371544,45,68,2.753999999999998
exclude_flagged_training_games,2018-19,TOR,58,55.921,4.060202488084091,43,67,2.0790000000000006
exclude_flagged_training_games,2018-19,GSW,57,51.573,4.057232077677112,39,63,5.427
exclude_flagged_training_games,2018-19,DEN,54,50.008,4.071426348653812,39,64,3.9919999999999973
exclude_flagged_training_games,2018-19,HOU,53,51.818,4.172083685915502,37,63,1.1820000000000022
exclude_flagged_training_games,2018-19,POR,53,50.275,4.184840246399842,32,64,2.7250000000000014
exclude_flagged_training_games,2018-19,PHI,51,51.77,4.122389367113943,37,63,0.7700000000000031
exclude_flagged_training_games,2018-19,UTA,50,50.592,4.030853976985991,38,62,0.5919999999999987
exclude_flagged_training_games,2018-19,BOS,49,48.103,4.001299963936896,31,60,0.8969999999999985
exclude_flagged_training_games,2018-19,OKC,49,49.484,4.186797496090929,36,62,0.48400000000000176
exclude_flagged_training_games,2018-19,IND,48,47.878,4.0456746635738625,35,59,0.12199999999999989
exclude_flagged_training_games,2018-19,LAC,48,43.744,4.012550879996984,32,57,4.256
exclude_flagged_training_games,2018-19,SAS,48,45.738,4.240912795771843,31,61,2.2620000000000005
exclude_flagged_training_games,2018-19,BKN,42,38.054,4.21602405814517,26,51,3.945999999999998
exclude_flagged_training_games,2018-19,ORL,42,37.445,4.194110819418768,24,49,4.555
exclude_flagged_training_games,2018-19,DET,41,41.231,4.136030191590209,29,52,0.23100000000000165
exclude_flagged_training_games,2018-19,CHA,39,39.497,4.3079635037392725,26,52,0.4969999999999999
exclude_flagged_training_games,2018-19,MIA,39,39.395,4.109484500866607,27,52,0.3950000000000031
exclude_flagged_training_games,2018-19,SAC,39,39.465,4.114085645766347,23,53,0.4650000000000034
exclude_flagged_training_games,2018-19,LAL,37,38.132,4.1424311383215215,23,51,1.131999999999998
exclude_flagged_training_games,2018-19,MIN,36,40.149,4.092865811451745,27,55,4.149000000000001
exclude_flagged_training_games,2018-19,DAL,33,32.829,4.01196396480014,19,44,0.17099999999999937
exclude_flagged_training_games,2018-19,MEM,33,34.507,4.130740129082683,22,48,1.506999999999998
exclude_flagged_training_games,2018-19,NOP,33,40.131,4.257930127299997,24,53,7.131
exclude_flagged_training_games,2018-19,WAS,32,35.966,4.190274740682573,23,49,3.966000000000001
exclude_flagged_training_games,2018-19,ATL,29,28.781,3.974271484666571,17,43,0.2190000000000012
exclude_flagged_training_games,2018-19,CHI,22,23.586,3.8182696582592466,9,37,1.5859999999999985
exclude_flagged_training_games,2018-19,CLE,19,25.34,4.0170308110016455,13,40,6.34
exclude_flagged_training_games,2018-19,PHX,19,19.82,3.6801009691505944,8,33,0.8200000000000003
exclude_flagged_training_games,2018-19,NYK,17,21.522,3.8210098293665924,11,35,4.5219999999999985
exclude_flagged_training_games,2019-20,MIL,56,55.345,3.3700641436525105,44,65,0.6550000000000011
exclude_flagged_training_games,2019-20,TOR,53,50.049,3.4932508930510275,38,62,2.9510000000000005
exclude_flagged_training_games,2019-20,LAL,52,48.107,3.6724702909673805,33,60,3.8930000000000007
exclude_flagged_training_games,2019-20,LAC,49,45.058,3.8467432242656163,33,56,3.942
exclude_flagged_training_games,2019-20,BOS,48,47.11,3.8249876510298084,33,58,0.8900000000000006
exclude_flagged_training_games,2019-20,DEN,46,44.051,3.6638535482225296,32,55,1.948999999999998
exclude_flagged_training_games,2019-20,IND,45,40.408,3.866585895397448,29,51,4.591999999999999
exclude_flagged_training_games,2019-20,HOU,44,44.843,3.927566266376263,32,56,0.8430000000000035
exclude_flagged_training_games,2019-20,MIA,44,41.832,3.9841749019903294,29,54,2.1679999999999993
exclude_flagged_training_games,2019-20,OKC,44,40.997,3.8817597889435485,27,55,3.003
exclude_flagged_training_games,2019-20,UTA,44,43.728,3.8777639243580895,32,56,0.27199999999999847
exclude_flagged_training_games,2019-20,DAL,43,43.923,3.8920713276119723,32,55,0.9230000000000018
exclude_flagged_training_games,2019-20,PHI,43,40.717,3.882007339119927,27,53,2.2830000000000013
exclude_flagged_training_games,2019-20,BKN,35,35.444,3.8209244252488777,23,47,0.4440000000000026
exclude_flagged_training_games,2019-20,POR,35,36.629,3.814434284256174,24,48,1.6289999999999978
exclude_flagged_training_games,2019-20,MEM,34,34.203,3.9137077187889373,22,47,0.20300000000000296
exclude_flagged_training_games,2019-20,PHX,34,31.069,3.8137624183716246,18,46,2.931000000000001
exclude_flagged_training_games,2019-20,ORL,33,35.797,3.731449412053541,22,49,2.796999999999997
exclude_flagged_training_games,2019-20,SAS,32,33.53,3.8750633693032834,23,46,1.5300000000000011
exclude_flagged_training_games,2019-20,SAC,31,32.714,3.878820600291956,19,45,1.7139999999999986
exclude_flagged_training_games,2019-20,NOP,30,32.03,3.728136129354587,21,43,2.030000000000001
exclude_flagged_training_games,2019-20,WAS,25,26.421,3.7426951207340906,13,42,1.4209999999999994
exclude_flagged_training_games,2019-20,CHA,23,23.814,3.6039412304298737,13,36,0.8140000000000001
exclude_flagged_training_games,2019-20,CHI,22,21.481,3.527617196222272,12,31,0.5189999999999984
exclude_flagged_training_games,2019-20,NYK,21,20.991,3.4323023904807246,10,33,0.009000000000000341
exclude_flagged_training_games,2019-20,ATL,20,21.421,3.662946379101962,10,34,1.4209999999999994
exclude_flagged_training_games,2019-20,DET,20,24.794,3.602852279034563,15,36,4.7940000000000005
exclude_flagged_training_games,2019-20,CLE,19,19.323,3.3150657098556375,9,30,0.3230000000000004
exclude_flagged_training_games,2019-20,MIN,19,21.451,3.4660658696298046,11,31,2.4510000000000005
exclude_flagged_training_games,2019-20,GSW,15,21.72,3.4747192222787833,12,34,6.719999999999999
exclude_flagged_training_games,2020-21,UTA,52,48.355,3.798078514249067,37,61,3.645000000000003
exclude_flagged_training_games,2020-21,PHX,51,45.981,3.746287985950049,34,57,5.018999999999998
exclude_flagged_training_games,2020-21,PHI,49,44.917,3.899656179500741,32,56,4.082999999999998
exclude_flagged_training_games,2020-21,BKN,48,44.387,3.645616754613891,33,54,3.6129999999999995
exclude_flagged_training_games,2020-21,DEN,47,43.11,3.9060411105308606,31,57,3.8900000000000006
exclude_flagged_training_games,2020-21,LAC,47,47.816,3.886547214334241,36,59,0.8160000000000025
exclude_flagged_training_games,2020-21,MIL,46,42.521,3.8463428543687255,31,53,3.478999999999999
exclude_flagged_training_games,2020-21,DAL,42,40.666,3.9822483978654954,30,54,1.3340000000000032
exclude_flagged_training_games,2020-21,LAL,42,42.783,3.8409196377513113,29,56,0.7830000000000013
exclude_flagged_training_games,2020-21,POR,42,39.778,3.8685503333524927,28,53,2.2220000000000013
exclude_flagged_training_games,2020-21,ATL,41,36.763,3.872186052454715,26,52,4.237000000000002
exclude_flagged_training_games,2020-21,NYK,41,37.85,3.9085517492770614,25,51,3.1499999999999986
exclude_flagged_training_games,2020-21,MIA,40,39.686,3.8353766587017386,28,53,0.31400000000000006
exclude_flagged_training_games,2020-21,GSW,39,35.623,4.025552890731418,21,49,3.3770000000000024
exclude_flagged_training_games,2020-21,MEM,38,39.702,4.030315054612907,26,54,1.7019999999999982
