SEASON,TEAM,ACTUAL_WINS,SIMULATED_MEAN_WINS,ABSOLUTE_ERROR
2016-17,GSW,67,65.447,1.5529999999999973
2016-17,SAS,61,60.003,0.9969999999999999
2016-17,CLE,51,52.509,1.5090000000000003
2016-17,LAC,51,51.774,0.7740000000000009
2016-17,HOU,55,51.244,3.7560000000000002
2016-17,TOR,51,50.005,0.9949999999999974
2016-17,BOS,53,49.911,3.0889999999999986
2016-17,UTA,51,48.372,2.628
2016-17,WAS,49,46.953,2.046999999999997
2016-17,CHA,36,46.234,10.234000000000002
2016-17,OKC,47,45.214,1.7860000000000014
2016-17,IND,42,43.106,1.1060000000000016
2016-17,MIA,41,42.815,1.8149999999999977
2016-17,ATL,43,42.512,0.48799999999999955
2016-17,MIL,42,41.926,0.07399999999999807
2016-17,MEM,43,41.649,1.350999999999999
2016-17,DET,37,40.605,3.604999999999997
2016-17,POR,41,40.256,0.7439999999999998
2016-17,CHI,41,40.226,0.7740000000000009
2016-17,MIN,31,38.205,7.204999999999998
2016-17,DEN,40,37.522,2.4780000000000015
2016-17,DAL,33,36.799,3.7989999999999995
2016-17,SAC,32,34.226,2.225999999999999
2016-17,NYK,31,32.073,1.0730000000000004
2016-17,NOP,34,30.592,3.4080000000000013
2016-17,ORL,29,30.455,1.4549999999999983
2016-17,LAL,26,24.122,1.8780000000000001
2016-17,PHI,28,23.016,4.984000000000002
2016-17,PHX,24,22.98,1.0199999999999996
2016-17,BKN,20,19.249,0.7510000000000012
2017-18,GSW,58,61.323,3.3230000000000004
2017-18,TOR,59,54.134,4.866
2017-18,HOU,65,52.041,12.959000000000003
2017-18,BOS,55,50.242,4.758000000000003
2017-18,SAS,47,46.348,0.652000000000001
2017-18,WAS,43,45.973,2.972999999999999
2017-18,OKC,48,45.913,2.0870000000000033
2017-18,LAC,42,44.092,2.0919999999999987
2017-18,IND,48,44.018,3.9819999999999993
2017-18,MIA,44,43.947,0.05299999999999727
2017-18,POR,49,43.919,5.081000000000003
2017-18,MIL,44,43.894,0.10600000000000165
2017-18,UTA,48,43.836,4.1640000000000015
2017-18,MIN,47,43.641,3.3590000000000018
2017-18,PHI,52,43.502,8.497999999999998
2017-18,CLE,50,43.288,6.712000000000003
2017-18,DEN,46,42.716,3.283999999999999
2017-18,NOP,48,41.455,6.545000000000002
2017-18,DET,39,40.146,1.1460000000000008
2017-18,CHA,36,38.085,2.085000000000001
2017-18,LAL,35,35.679,0.679000000000002
2017-18,NYK,29,34.401,5.401000000000003
2017-18,DAL,24,33.71,9.71
2017-18,ORL,25,32.617,7.616999999999997
2017-18,ATL,24,31.884,7.884
2017-18,BKN,28,31.871,3.8709999999999987
2017-18,CHI,27,31.007,4.0070000000000014
2017-18,MEM,22,30.813,8.812999999999999
2017-18,SAC,27,28.08,1.0799999999999983
2017-18,PHX,21,27.425,6.425000000000001
2018-19,MIL,60,56.746,3.253999999999998
2018-19,TOR,58,55.074,2.926000000000002
2018-19,GSW,57,52.064,4.936
2018-19,UTA,50,49.882,0.1180000000000021
2018-19,BOS,49,49.055,0.054999999999999716
2018-19,HOU,53,48.914,4.0859999999999985
2018-19,DEN,54,48.797,5.203000000000003
2018-19,OKC,49,48.727,0.27300000000000324
2018-19,IND,48,48.546,0.5459999999999994
2018-19,PHI,51,48.479,2.521000000000001
2018-19,POR,53,48.449,4.551000000000002
2018-19,SAS,48,44.334,3.665999999999997
2018-19,LAC,48,43.758,4.241999999999997
2018-19,DET,41,41.748,0.7479999999999976
2018-19,MIA,39,41.713,2.713000000000001
2018-19,CHA,39,41.265,2.2650000000000006
2018-19,NOP,33,41.031,8.030999999999999
2018-19,MIN,36,39.897,3.8969999999999985
2018-19,SAC,39,39.757,0.7569999999999979
2018-19,LAL,37,38.828,1.828000000000003
2018-19,BKN,42,37.746,4.253999999999998
2018-19,WAS,32,36.568,4.567999999999998
2018-19,ORL,42,35.133,6.866999999999997
2018-19,DAL,33,34.963,1.963000000000001
2018-19,MEM,33,33.171,0.17099999999999937
2018-19,CLE,19,28.167,9.167000000000002
2018-19,ATL,29,27.855,1.1449999999999996
2018-19,NYK,17,23.952,6.952000000000002
2018-19,CHI,22,23.92,1.9200000000000017
2018-19,PHX,19,21.461,2.4609999999999985
2019-20,MIL,56,54.334,1.6659999999999968
