SEASON,TEAM,ACTUAL_WINS,SIMULATED_MEAN_WINS,ABSOLUTE_ERROR
2016-17,GSW,67,64.745,2.2549999999999955
2016-17,SAS,61,60.311,0.6890000000000001
2016-17,CLE,51,52.043,1.0429999999999993
2016-17,LAC,51,51.682,0.6820000000000022
2016-17,HOU,55,51.285,3.7150000000000034
2016-17,TOR,51,49.932,1.0679999999999978
2016-17,BOS,53,49.629,3.371000000000002
2016-17,UTA,51,48.261,2.738999999999997
2016-17,WAS,49,47.266,1.7340000000000018
2016-17,OKC,47,45.54,1.4600000000000009
2016-17,CHA,36,45.077,9.076999999999998
2016-17,MIA,41,43.006,2.0060000000000002
2016-17,IND,42,42.884,0.8840000000000003
2016-17,ATL,43,42.391,0.6090000000000018
2016-17,MIL,42,41.864,0.13600000000000279
2016-17,MEM,43,41.661,1.3389999999999986
2016-17,DET,37,41.141,4.140999999999998
2016-17,CHI,41,40.289,0.7109999999999985
2016-17,POR,41,39.802,1.1980000000000004
2016-17,MIN,31,38.02,7.020000000000003
2016-17,DEN,40,37.786,2.2139999999999986
2016-17,DAL,33,36.565,3.5649999999999977
2016-17,SAC,32,33.87,1.8699999999999974
2016-17,NYK,31,32.55,1.5499999999999972
2016-17,ORL,29,31.201,2.2010000000000005
2016-17,NOP,34,30.387,3.6129999999999995
2016-17,LAL,26,24.941,1.059000000000001
2016-17,PHI,28,23.429,4.5710000000000015
2016-17,PHX,24,22.344,1.6559999999999988
2016-17,BKN,20,20.098,0.09799999999999898
2017-18,GSW,58,61.069,3.0690000000000026
2017-18,TOR,59,54.245,4.755000000000003
2017-18,HOU,65,51.051,13.948999999999998
2017-18,BOS,55,50.105,4.895000000000003
2017-18,OKC,48,46.135,1.865000000000002
2017-18,WAS,43,46.05,3.049999999999997
2017-18,SAS,47,45.889,1.110999999999997
2017-18,LAC,42,44.424,2.4239999999999995
2017-18,UTA,48,44.372,3.628
2017-18,MIL,44,44.085,0.08500000000000085
2017-18,POR,49,44.007,4.993000000000002
2017-18,MIN,47,43.813,3.1869999999999976
2017-18,MIA,44,43.743,0.2569999999999979
2017-18,PHI,52,43.669,8.331000000000003
2017-18,IND,48,43.554,4.445999999999998
2017-18,DEN,46,43.138,2.862000000000002
2017-18,CLE,50,43.034,6.966000000000001
2017-18,NOP,48,42.172,5.828000000000003
2017-18,DET,39,40.142,1.142000000000003
2017-18,CHA,36,37.59,1.5900000000000034
2017-18,LAL,35,36.274,1.274000000000001
2017-18,NYK,29,34.768,5.768000000000001
2017-18,DAL,24,34.202,10.201999999999998
2017-18,ORL,25,32.841,7.841000000000001
2017-18,BKN,28,32.319,4.319000000000003
2017-18,ATL,24,31.57,7.57
2017-18,CHI,27,31.203,4.202999999999999
2017-18,MEM,22,30.6,8.600000000000001
2017-18,SAC,27,27.334,0.33399999999999963
2017-18,PHX,21,26.602,5.602
2018-19,MIL,60,56.459,3.540999999999997
2018-19,TOR,58,54.676,3.323999999999998
2018-19,GSW,57,52.094,4.905999999999999
2018-19,UTA,50,49.561,0.43900000000000006
2018-19,BOS,49,48.94,0.060000000000002274
2018-19,DEN,54,48.813,5.186999999999998
2018-19,HOU,53,48.674,4.3260000000000005
2018-19,PHI,51,48.545,2.4549999999999983
2018-19,OKC,49,48.505,0.49499999999999744
2018-19,IND,48,48.146,0.1460000000000008
2018-19,POR,53,47.275,5.725000000000001
2018-19,SAS,48,44.689,3.311
2018-19,LAC,48,43.373,4.6270000000000024
2018-19,CHA,39,41.94,2.9399999999999977
2018-19,NOP,33,41.858,8.857999999999997
2018-19,MIA,39,41.772,2.7719999999999985
2018-19,DET,41,41.336,0.3359999999999985
2018-19,MIN,36,40.392,4.392000000000003
2018-19,SAC,39,40.127,1.1270000000000024
2018-19,LAL,37,39.255,2.2550000000000026
2018-19,BKN,42,38.087,3.9129999999999967
2018-19,WAS,32,35.247,3.247
2018-19,DAL,33,35.146,2.146000000000001
2018-19,ORL,42,34.814,7.186
2018-19,MEM,33,33.73,0.7299999999999969
2018-19,ATL,29,28.446,0.5539999999999985
2018-19,CLE,19,28.427,9.427
2018-19,CHI,22,24.269,2.2689999999999984
2018-19,NYK,17,23.618,6.6179999999999986
2018-19,PHX,19,21.786,2.7860000000000014
2019-20,MIL,56,54.221,1.7790000000000035
2019-20,TOR,53,45.801,7.198999999999998
2019-20,LAL,52,44.66,7.340000000000003
2019-20,BOS,48,43.989,4.011000000000003
2019-20,DEN,46,43.662,2.338000000000001
2019-20,HOU,44,43.478,0.5219999999999985
2019-20,LAC,49,43.374,5.625999999999998
2019-20,DAL,43,42.667,0.3329999999999984
2019-20,UTA,44,42.26,1.740000000000002
2019-20,MIA,44,41.142,2.857999999999997
2019-20,PHI,43,41.043,1.9570000000000007
2019-20,IND,45,40.154,4.8459999999999965
2019-20,OKC,44,39.729,4.271000000000001
2019-20,POR,35,37.072,2.0720000000000027
2019-20,ORL,33,36.37,3.3699999999999974
2019-20,BKN,35,35.764,0.7640000000000029
2019-20,SAS,32,33.902,1.902000000000001
2019-20,MEM,34,32.759,1.2409999999999997
2019-20,SAC,31,32.23,1.2299999999999969
2019-20,PHX,34,31.768,2.2319999999999993
2019-20,NOP,30,30.79,0.7899999999999991
2019-20,DET,20,28.448,8.448
2019-20,WAS,25,28.009,3.0090000000000003
2019-20,CHI,22,26.045,4.045000000000002
2019-20,MIN,19,25.841,6.841000000000001
2019-20,CHA,23,23.947,0.9469999999999992
2019-20,GSW,15,23.464,8.463999999999999
2019-20,CLE,19,22.914,3.9140000000000015
2019-20,NYK,21,21.933,0.9329999999999998
2019-20,ATL,20,21.564,1.564
2020-21,UTA,52,45.703,6.296999999999997
2020-21,LAC,47,45.391,1.6090000000000018
2020-21,PHX,51,44.909,6.091000000000001
2020-21,BKN,48,44.527,3.472999999999999
2020-21,MIL,46,44.234,1.7659999999999982
2020-21,PHI,49,43.422,5.578000000000003
2020-21,LAL,42,43.06,1.0600000000000023
2020-21,DEN,47,42.81,4.189999999999998
2020-21,BOS,36,41.141,5.140999999999998
2020-21,DAL,42,39.797,2.203000000000003
2020-21,TOR,27,38.889,11.889000000000003
2020-21,IND,34,38.399,4.399000000000001
2020-21,POR,42,38.356,3.6439999999999984
2020-21,MEM,38,38.045,0.045000000000001705
2020-21,MIA,40,36.882,3.118000000000002
2020-21,NYK,41,36.465,4.534999999999997
2020-21,ATL,41,35.597,5.402999999999999
2020-21,NOP,31,35.552,4.552
2020-21,GSW,39,35.403,3.5970000000000013
2020-21,SAS,33,34.956,1.956000000000003
2020-21,CHA,33,32.978,0.021999999999998465
2020-21,CHI,31,31.922,0.9220000000000006
2020-21,SAC,31,30.673,0.32700000000000173
2020-21,WAS,34,27.951,6.0489999999999995
2020-21,OKC,22,27.881,5.881
2020-21,ORL,21,26.068,5.068000000000001
2020-21,HOU,17,26.017,9.017
2020-21,DET,20,25.873,5.873000000000001
2020-21,CLE,22,23.896,1.8960000000000008
2020-21,MIN,23,23.203,0.2029999999999994
2021-22,PHX,64,56.11,7.890000000000001
2021-22,UTA,49,52.266,3.2659999999999982
2021-22,GSW,53,51.202,1.7980000000000018
2021-22,MIA,53,50.25,2.75
2021-22,MIL,51,49.669,1.331000000000003
2021-22,MEM,56,48.154,7.8459999999999965
2021-22,PHI,51,47.814,3.186
2021-22,DEN,48,47.592,0.40800000000000125
2021-22,BOS,51,47.569,3.4309999999999974
2021-22,DAL,52,47.357,4.643000000000001
2021-22,CHI,46,44.859,1.1409999999999982
2021-22,MIN,46,43.89,2.1099999999999994
2021-22,BKN,44,43.52,0.4799999999999969
2021-22,ATL,43,42.881,0.11899999999999977
2021-22,CLE,44,42.722,1.2779999999999987
2021-22,TOR,48,41.998,6.0020000000000024
2021-22,LAC,42,41.888,0.11200000000000188
2021-22,NYK,37,40.945,3.9450000000000003
2021-22,CHA,43,40.274,2.725999999999999
2021-22,WAS,35,39.839,4.838999999999999
2021-22,LAL,33,37.519,4.518999999999998
2021-22,SAS,34,37.5,3.5
2021-22,NOP,36,36.327,0.3269999999999982
2021-22,IND,25,35.351,10.350999999999999
2021-22,POR,27,35.177,8.177
2021-22,SAC,30,31.173,1.1729999999999983
2021-22,OKC,24,24.902,0.902000000000001
2021-22,DET,23,24.278,1.2779999999999987
2021-22,HOU,20,23.955,3.9549999999999983
2021-22,ORL,22,23.019,1.0189999999999984
2022-23,BOS,57,52.258,4.741999999999997
2022-23,MIL,58,49.512,8.488
2022-23,MEM,51,49.373,1.6270000000000024
2022-23,CLE,51,49.342,1.6580000000000013
2022-23,DEN,53,49.194,3.8059999999999974
2022-23,PHI,54,48.843,5.1569999999999965
2022-23,PHX,45,46.643,1.6430000000000007
2022-23,DAL,38,45.859,7.859000000000002
2022-23,BKN,45,45.741,0.7409999999999997
2022-23,SAC,48,44.943,3.057000000000002
2022-23,NYK,47,44.679,2.320999999999998
